run,sample_name
SRR24507657,Brown phenotype - Low Light (BLL)
SRR24507658,Brown phenotype - Medium Light (BML)
SRR24507659,Brown phenotype - High Light (BHL)
SRR24507660,Brown phenotype - Low Light (BLL)
SRR24507661,Brown phenotype - High Light (BHL)
SRR24507662,Brown phenotype - Medium Light (BML)
SRR24507663,Brown phenotype - Low Light (BLL)
SRR24507664,Green phenotype - Medium Light (GML)
SRR24507665,Green phenotype - High Light (GHL)
SRR24507666,Green phenotype - Low Light (GLL)
SRR24507667,Green phenotype - Medium Light (GML)
SRR24507668,Brown phenotype - Medium Light (BML)
SRR24507669,Green phenotype - High Light (GHL)
SRR24507670,Green phenotype - Low Light (GLL)
SRR24507671,Green phenotype - Medium Light (GML)
SRR24507672,Green phenotype - High Light (GHL)
SRR24507673,Green phenotype - Low Light (GLL)
SRR24507674,Green phenotype - Medium Light (GML)
SRR24507675,Green phenotype - High Light (GHL)
SRR24507676,Green phenotype - Low Light (GLL)
SRR24507677,Brown phenotype - Medium Light (BML)
SRR24507678,Brown phenotype - High Light (BHL)
SRR24507679,Brown phenotype - High Light (BHL)
SRR24507680,Brown phenotype - Low Light (BLL)
